year,country,flow,intra_extra_EU,value_eur,volume_kg
2020,Poland,Import,Extra EU,15142451.0,4447222.0
2020,Poland,Import,Intra EU,25831011.0,7661131.0
2020,Portugal,Export,Extra EU,22329216.0,4118131.0
2020,Portugal,Export,Intra EU,67361067.0,13108665.0
2020,Portugal,Import,Extra EU,41819996.0,12357152.0
2020,Portugal,Import,Intra EU,74875454.0,14670951.0
2020,Romania,Export,Extra EU,190902.0,30386.0
2020,Romania,Export,Intra EU,157854.0,42805.0
2020,Romania,Import,Extra EU,5180289.0,1429583.0
2020,Romania,Import,Intra EU,25973680.0,5026870.0
2020,Slovakia,Export,Intra EU,1849760.0,277898.0
2020,Slovakia,Import,Extra EU,2077419.0,588829.0
2020,Slovakia,Import,Intra EU,13710612.0,2724264.0
2020,Slovenia,Export,Extra EU,540300.0,72748.0
2020,Slovenia,Export,Intra EU,2013010.0,349186.0
2020,Slovenia,Import,Extra EU,585666.0,199347.0
2020,Slovenia,Import,Intra EU,19911408.0,3305948.0
2020,Spain,Export,Extra EU,60536053.0,11212385.0
2020,Spain,Export,Intra EU,522486786.0,94827514.0
2020,Spain,Import,Extra EU,508732313.0,130644274.0
2020,Spain,Import,Intra EU,32192722.0,8036826.0
2020,Sweden,Export,Extra EU,660.0,106.0
2020,Sweden,Export,Intra EU,417562.0,50863.0
2020,Sweden,Import,Extra EU,18595550.0,4843436.0
2020,Sweden,Import,Intra EU,12042896.0,2452471.0
2020,United Kingdom,Export,Extra EU,190445.0,27375.0
2020,United Kingdom,Export,Intra EU,877601.0,166460.0
2020,United Kingdom,Import,Extra EU,25622105.0,6227077.0
2020,United Kingdom,Import,Intra EU,8056643.0,1936680.0
2021,Austria,Export,Extra EU,1509796.0,259471.0
2021,Austria,Export,Intra EU,5047566.0,1096610.0
2021,Austria,Import,Extra EU,1564085.0,487380.0
2021,Austria,Import,Intra EU,69344019.0,14254352.0
2021,Belgium,Export,Extra EU,764874.0,118658.0
2021,Belgium,Export,Intra EU,15067238.0,3618933.0
2021,Belgium,Import,Extra EU,28342685.0,7100878.0
2021,Belgium,Import,Intra EU,56869468.0,11528641.0
2021,Bulgaria,Export,Extra EU,303766.0,76838.0
2021,Bulgaria,Export,Intra EU,727364.0,129646.0
2021,Bulgaria,Import,Extra EU,2367124.0,802002.0
2021,Bulgaria,Import,Intra EU,3300774.0,689883.0
2021,Croatia,Export,Extra EU,2228596.0,297143.0
2021,Croatia,Export,Intra EU,908116.0,115893.0
2021,Croatia,Import,Extra EU,707540.0,198367.0
2021,Croatia,Import,Intra EU,18920179.0,3577965.0
2021,Cyprus,Import,Extra EU,3223331.0,754681.0
2021,Cyprus,Import,Intra EU,2141735.0,404906.0
2021,Czechia,Export,Extra EU,68076.0,11330.0
2021,Czechia,Export,Intra EU,9872050.0,1615252.0
2021,Czechia,Import,Extra EU,7101559.0,1962118.0
2021,Czechia,Import,Intra EU,32080248.0,5899182.0
2021,Denmark,Export,Extra EU,521351.0,98727.0
2021,Denmark,Export,Intra EU,1241865.0,238936.0
2021,Denmark,Import,Extra EU,15820936.0,3903172.0
2021,Denmark,Import,Intra EU,11394647.0,2544309.0
2021,Estonia,Export,Extra EU,664.0,98.0
2021,Estonia,Export,Intra EU,19868.0,3122.0
2021,Estonia,Import,Extra EU,349380.0,96668.0
2021,Estonia,Import,Intra EU,1072312.0,233580.0
2021,Finland,Export,Extra EU,3141.0,456.0
2021,Finland,Export,Intra EU,77866.0,15729.0
2021,Finland,Import,Extra EU,18986611.0,4988036.0
2021,Finland,Import,Intra EU,10347082.0,2085621.0
2021,France,Export,Extra EU,4231120.0,913333.0
2021,France,Export,Intra EU,15007548.0,2908950.0
2021,France,Import,Extra EU,247096045.0,54507551.0
2021,France,Import,Intra EU,205758332.0,40426848.0
2021,Germany,Export,Extra EU,991752.0,165947.0
2021,Germany,Export,Intra EU,51148536.0,13593583.0
2021,Germany,Import,Extra EU,160643853.0,46637147.0
2021,Germany,Import,Intra EU,148936755.0,31565112.0
2021,Greece,Export,Extra EU,353751.0,53182.0
2021,Greece,Export,Intra EU,2523718.0,371727.0
2021,Greece,Import,Extra EU,12414053.0,2719358.0
2021,Greece,Import,Intra EU,25454483.0,4119897.0
2021,Hungary,Export,Extra EU,354103.0,40589.0
2021,Hungary,Export,Intra EU,336377.0,54692.0
2021,Hungary,Import,Extra EU,159786.0,48799.0
2021,Hungary,Import,Intra EU,17392246.0,3311872.0
2021,Ireland,Export,Extra EU,348421.0,83182.0
2021,Ireland,Export,Intra EU,22474.0,3627.0
2021,Ireland,Import,Extra EU,13762474.0,3373009.0
2021,Ireland,Import,Intra EU,5100562.0,867402.0
2021,Italy,Export,Extra EU,67077769.0,10353731.0
